Day,Week,Attribute,Scripture,Theme/Focus,Notes,Status
1,1,Exodus 19-20,Exodus 19:1-4,Remembered mercy before covenant demand,Generated by scripture harness,planned
2,1,Exodus 19-20,Exodus 19:5-8,Covenant identity received through obedience,Generated by scripture harness,planned
3,1,Exodus 19-20,Exodus 19:9-13,Consecration and holy boundaries,Generated by scripture harness,planned
4,1,Exodus 19-20,Exodus 19:14-19,Meeting God with trembling reverence,Generated by scripture harness,planned
5,1,Exodus 19-20,Exodus 19:20-25,Nearness without presumption,Generated by scripture harness,planned
6,1,Exodus 19-20,Exodus 20:1-3,Exclusive worship under holy authority,Generated by scripture harness,planned
7,1,Exodus 19-20,Exodus 20:4-6,Rejecting false worship on the way to gathered worship,Generated by scripture harness,planned
8,2,Exodus 19-20,Exodus 20:7-11,Reverent speech and sabbath-shaped life,Generated by scripture harness,planned
9,2,Exodus 19-20,Exodus 20:12-14,Holy obedience in family and neighbor life,Generated by scripture harness,planned
10,2,Exodus 19-20,Exodus 20:15-17,Truthful desire and neighborly integrity,Generated by scripture harness,planned
11,2,Exodus 19-20,Exodus 20:18-21,"Fear, distance, and mediated nearness",Generated by scripture harness,planned
12,2,Exodus 19-20,Exodus 20:22-26,Worship ordered by God's own terms,Generated by scripture harness,planned
